Gene ID,Gene Name,accessory axillary lymph node,adrenal gland,aorta,bone (os femoris),cecum,cerebellum,cerebral cortex,colon,corpora quadrigemina,corpus striatum,diencephalon,epididymis,eyeball,hippocampus,intestinal mucosa,intestine,lung,medulla oblongata,olfactory brain,ovary,pancreas,pituitary gland,prostate,skin,spinal cord,spleen,stomach,submandibular gland,testis,thymus,tongue,urinary bladder,uterus,vagina,vesicular gland
ENSMUSG00000021880,Rnase6,43,0.9,2,7,2,,,2,,,,,,,,0.5,6,,,0.7,1,,0.9,0.8,,12,,1,,2,,2,,,1
ENSMUSG00000021884,Hacl1,9,16,35,5,13,8,5,8,8,5,8,13,31,7,17,16,13,13,6,13,3,9,7,10,13,6,8,7,5,11,7,13,4,4,7
ENSMUSG00000021886,Gpr65,14,4,0.9,4,2,,,3,,,,0.5,,,2,0.8,6,,,,,1,,0.5,,10,1,2,,8,,,0.5,0.6,0.5
ENSMUSG00000021890,Eaf1,21,15,10,17,12,9,5,13,8,11,8,13,17,7,19,12,13,10,7,11,11,15,10,23,10,13,10,15,9,23,15,11,10,17,11
ENSMUSG00000021891,Mettl6,21,13,15,19,13,16,15,11,16,13,12,14,10,11,11,10,19,10,15,18,7,17,13,12,14,18,10,12,79,39,12,12,14,11,11
ENSMUSG00000021892,Sh3bp5,59,43,43,32,5,43,27,4,18,21,19,8,10,52,2,3,42,24,14,26,11,7,14,27,28,35,6,41,40,10,23,14,17,23,8
ENSMUSG00000021893,Capn7,23,17,16,22,13,24,16,17,18,14,16,18,23,18,15,14,15,17,16,21,23,23,28,13,24,15,11,17,14,27,20,14,22,15,23
ENSMUSG00000021895,Arhgef3,27,9,6,2,2,8,0.5,2,1,,0.6,2,5,2,1,0.7,50,1,0.5,2,3,0.5,0.9,2,0.9,6,2,3,,13,6,2,3,0.8,2
ENSMUSG00000021898,Asb14,,,,11,,,,,,,,,3,,,,,,,,,,1,6,0.6,,,,,,46,,,,
ENSMUSG00000021900,Btd,8,14,21,5,4,6,5,11,5,3,4,8,17,6,18,12,9,8,5,15,2,10,10,6,9,5,2,6,3,7,6,8,10,9,7
ENSMUSG00000021901,Bap1,15,23,20,21,9,40,54,14,44,49,49,17,20,44,20,20,16,47,42,23,24,29,18,16,48,21,10,10,112,23,22,12,20,14,14
ENSMUSG00000021902,Phf7,12,7,7,8,2,5,3,5,4,5,5,15,5,4,4,9,8,4,5,6,9,8,4,6,4,7,5,5,5914,5,5,9,4,6,6
ENSMUSG00000021903,Galnt15,,1,5,,,2,,,,0.9,,0.5,0.8,,,,2,1,,5,,,1,3,,,,,,,2,3,6,3,4
ENSMUSG00000021904,Sema3g,0.5,8,12,0.9,4,2,3,3,3,2,4,2,2,3,1,1,86,5,4,18,5,1,3,5,4,2,2,2,,0.6,8,6,3,3,3
ENSMUSG00000021905,Dph3,8,7,9,10,6,12,7,10,12,5,10,10,15,5,17,11,8,16,6,10,17,10,17,5,9,9,16,14,32,5,16,9,11,11,9
ENSMUSG00000021906,Oxnad1,4,10,47,4,6,9,4,10,7,3,5,7,94,3,17,12,2,5,5,9,,9,10,2,7,5,19,6,3,3,13,8,4,3,6
ENSMUSG00000021907,Msmb,,,,,,,,,,,,,,,,,,,,,,,2295,,,,,,,,,57,,,0.5
ENSMUSG00000021908,Gm6768,12,7,32,50,2,0.9,0.7,21,0.9,0.5,,1,12,0.8,550,22,13,2,,9,5,1,74,0.8,2,63,24,1,4,3,0.9,7,2,2,10
ENSMUSG00000021910,Nisch,41,81,48,42,49,75,106,26,125,111,107,77,51,113,17,22,92,95,94,88,34,112,63,33,92,28,28,49,15,56,35,75,83,48,59
ENSMUSG00000021911,Parg,54,27,24,25,13,30,29,24,26,25,27,25,34,30,31,29,25,28,30,32,27,27,29,42,26,28,14,25,36,35,27,22,26,31,18
ENSMUSG00000021913,Ogdhl,,6,,,,43,50,1,68,47,63,9,9,38,,,,68,34,5,0.7,58,1,0.5,52,,0.5,,12,0.5,0.8,1,4,1,0.8
ENSMUSG00000021916,Glt8d1,4,11,5,3,,6,7,2,9,6,6,11,3,8,3,2,9,8,9,11,4,26,5,4,6,3,5,4,14,3,3,7,8,5,7
ENSMUSG00000021917,Spcs1,51,63,45,50,56,38,65,88,62,60,63,167,45,60,81,87,66,71,45,60,122,106,117,34,66,66,108,128,90,51,54,60,74,65,123
ENSMUSG00000021922,Itih4,,,2,,,,,0.8,,,,,,,,,0.9,,,,5,,,,,,,,,,,,,,
